Date,Open,High,Low,Close,Volume
8/14/2014,42.25,42.584999,41.724998,41.77,1123664
8/15/2014,41.805,42.259998,41.349998,41.435001,1190046
8/18/2014,42.025002,42.099998,41.645,42.07,664045
8/19/2014,42.275002,42.529999,42.049999,42.380001,644284
8/20/2014,42.32,42.360001,41.779999,42.330002,511157
8/21/2014,42.314999,43,41.799999,42.985001,742633
8/22/2014,43,43.5,42.52,42.779999,751870
8/25/2014,43.355,43.48,42.865002,43.395,398508
8/26/2014,43.294998,43.974998,43.005001,43.849998,771343
8/27/2014,43.575001,44.275002,43.540001,44.040001,763792
8/28/2014,43.709999,43.91,43.16,43.365002,649571
8/29/2014,43.355,43.625,43.09,43.375,553543
9/1/2014,43.400002,43.57,42.360001,43.115002,513290
9/2/2014,43.174999,43.34,42.75,42.919998,631949
9/3/2014,43.014999,43.849998,43.014999,43.264999,753594
9/4/2014,43.169998,44.790001,43.005001,43.84,1580651
9/5/2014,43.16,44.084999,43.009998,43.740002,1094974
9/8/2014,43.735001,44.25,43.220001,43.639999,759344
9/9/2014,43.490002,43.700001,43.014999,43.165001,502165
9/10/2014,43.035,43.395,42.645,43.244999,741710
9/11/2014,43.34,43.400002,42.900002,43.150002,643930
9/12/2014,43.185001,43.23,42.924999,43.105,482250
9/15/2014,42.794998,43.165001,42.700001,42.855,635155
9/16/2014,42.889999,42.915001,42.360001,42.669998,799129
9/17/2014,42.98,43.02,42.610001,42.869999,864376
9/18/2014,42.98,43.375,42.799999,43.200001,924541
9/19/2014,43.625,43.950001,43.25,43.665001,1612108
9/22/2014,43.419998,44.139999,43.34,43.560001,807562
9/23/2014,43.255001,43.330002,42.900002,42.945,1228134
9/24/2014,42.939999,42.955002,42.470001,42.805,981411
9/25/2014,42.945,43.369999,42.584999,42.779999,1111091
9/26/2014,42.785,43.25,42.389999,42.965,813875
9/29/2014,42.959999,43.055,42.07,42.154999,984027
9/30/2014,42.375,42.630001,41.904999,42.165001,1020532
10/1/2014,42.060001,43.16,42.060001,42.764999,1077222
10/2/2014,42.740002,42.924999,41.215,41.285,1645328
10/3/2014,41.865002,42.389999,41.509998,42.255001,957014
10/6/2014,42.759998,43.200001,42.439999,43.055,1197529
10/7/2014,42.970001,43.349998,42.375,42.560001,1112799
10/8/2014,42.294998,42.439999,41.595001,41.84,1002591
10/9/2014,42.549999,42.549999,41.119999,41.439999,967635
10/10/2014,41.02,41.584999,40.625,40.794998,1125318
10/13/2014,40.32,41.424999,40.099998,40.740002,1030581
10/14/2014,40.57,40.84,39.77,40.705002,871388
10/15/2014,40.77,41.005001,38.645,38.700001,1736436
10/16/2014,38.759998,39.110001,36.529999,38.005001,2778735
10/17/2014,38.224998,39.735001,37.855,39.634998,1588170
10/20/2014,39.700001,40.34,39.32,39.775002,1305717
10/21/2014,39.744999,40.98,39.575001,40.735001,1702599
10/22/2014,40.75,41.084999,40.310001,40.799999,1286407
10/23/2014,40.605,41.134998,40.209999,40.935001,1391455
10/24/2014,40.915001,41.900002,40.91,41.685001,1751641
10/27/2014,42.200001,42.334999,40.279999,40.555,1774821
10/28/2014,41.080002,41.465,40.75,41.25,857730
10/29/2014,41.529999,41.799999,40.855,41.044998,1109319
10/30/2014,41.529999,41.654999,39.924999,41.305,1376522
10/31/2014,41.950001,42.805,41.849998,42.75,1348696
11/3/2014,42.57,42.990002,42.305,42.400002,992060
11/4/2014,42.290001,42.52,40.875,41.09,1588299
11/5/2014,41.435001,42.575001,40.924999,42.465,1474458
11/6/2014,42.154999,43.334999,41.5,41.869999,1808710
11/7/2014,42.095001,42.220001,40.855,41.200001,894865
11/10/2014,41.110001,41.525002,40.709999,41.105,723123
11/11/2014,41.16,41.68,40.965,41.220001,746753
11/12/2014,41.055,41.154999,39.959999,40.115002,1456139
11/13/2014,41.700001,42.970001,41.5,42.555,2073104
11/14/2014,42.580002,43.25,42.275002,43.02,1238888
11/17/2014,42.59,43.325001,42.435001,43.244999,1008749
11/18/2014,43.125,43.610001,42.98,43.435001,901979
11/19/2014,43.435001,43.805,43.165001,43.595001,927093
