Date,ECO_US_IP_YOY,ECO_US_OECD_LEADING_INDICATOR,ECO_US_CONSUMER_CONFIDENCE_INDEX,ECO_US_CITI_ECONOMIC_SURPRISE_INDEX,ECO_EMU_IP_YOY,FI_GERMANY_GENERIC_BOND_YIELD_10Y,ECO_EMU_BUSINESS_CONFIDENCE_MANUFACTURING,EQ_MSCI_WORLD_AC_FINANCIALS_DIVIDEND_YIELD_FORWARD_LOOKING,EQ_MSCI_WORLD_AC_FINANCIALS_12M_FW_PE,FI_EUR_BILL_RATE_3M,NORTH_AMERICA_3M_REL_RETURN,EMU_3M_REL_RETURN,FINANCIALS_3M_REL_RETURN
20150101,3.18,100.807,93.1,34.7,0.99,0.541,-4.9,3.0189999999999997,12.083,0.078,-0.020885818855158833,0.04594420897866258,-0.013489706304726345
20150102,3.18,100.807,93.1,28.3,0.99,0.498,-4.9,3.0189999999999997,12.083,0.076,-0.02535225247678463,0.05549301622483305,-0.014810096005056117
20150105,3.18,100.807,93.1,27.6,0.99,0.513,-4.9,3.0189999999999997,12.083,0.075,-0.027235097220784876,0.07964876613699112,-0.01338618545937531
20150106,3.18,100.807,93.1,22.8,0.99,0.45299999999999996,-4.9,3.0189999999999997,12.083,0.073,-0.02897657325686831,0.07359750583508307,-0.009832100911760566
20150107,3.18,100.807,93.1,29.3,0.99,0.47100000000000003,-4.9,3.0189999999999997,12.083,0.07,-0.03541491546934994,0.08270860402367841,-0.007767463629588356
20150108,3.18,100.807,93.1,28.5,0.99,0.512,-4.9,3.0839999999999996,11.819,0.07,-0.033076877938858606,0.06409954737807189,-0.0033390953412817392
20150109,3.18,100.807,93.1,30.7,0.99,0.48100000000000004,-4.9,3.0839999999999996,11.819,0.07,-0.03090126619724476,0.07619929477709553,0.0008242839176799688
20150112,3.18,100.807,93.1,30.8,0.99,0.48100000000000004,-4.9,3.0839999999999996,11.819,0.071,-0.02567690862936245,0.057634394275208,-6.832711095872135e-05
20150113,3.18,100.807,93.1,31.0,0.99,0.47700000000000004,-4.9,3.0839999999999996,11.819,0.071,-0.021756043699322936,0.040725768864709355,-0.0009086782220730782
20150114,3.18,100.807,93.1,19.0,0.99,0.431,-4.9,3.0839999999999996,11.819,0.069,-0.02425763047640772,0.0424698350548145,0.006717751907103775
20150115,3.18,100.807,93.1,11.7,0.79,0.475,-4.9,3.1010000000000004,11.790999999999999,0.069,-0.015511863970315565,0.033087833039807,0.007330978204665994
20150116,3.18,100.807,93.1,7.2,0.79,0.45799999999999996,-4.9,3.1010000000000004,11.790999999999999,0.06,-0.02179137585966573,0.03333843927473423,0.011091844612806101
20150119,3.18,100.807,93.1,6.4,0.79,0.441,-4.9,3.1010000000000004,11.790999999999999,0.055999999999999994,-0.017762324719436284,0.013322820383627088,0.010391444831535646
20150120,3.18,100.807,93.1,4.8,0.79,0.45,-4.9,3.1010000000000004,11.790999999999999,0.055,-0.016123486289685074,0.011980624059260148,0.011261204589844365
20150121,3.18,100.807,93.1,5.5,0.79,0.519,-4.9,3.1010000000000004,11.790999999999999,0.055,-0.015868493661404193,0.009077139671018752,0.011683503322533317
